DocEntry;DocNum;CardCode;CardName;GroupCode;GroupName;Country;CountryName;State1;StateName;City;DocDate;SlpCode;DocCur;DocRate;DocTotal;DocTotalFC;ItemCode;ItmsGrpCod;ItmsGrpNam;ItemName;Quantity;WhsCode;StockPrice;PriceBefDi;DiscPrcnt;Price;LineTotal
1;1;C20000;Norm Thompson;103;Distributors;US;USA;PA;Pennsylvania;Northampton;Jan 22, 2006 12:00:00.0 AM;6;$;1;14,310;0;A00001;103;Accessories;IBM Infoprint 1312;5;01;370.03;600;0;600;3,000
1;1;C20000;Norm Thompson;103;Distributors;US;USA;PA;Pennsylvania;Northampton;Jan 22, 2006 12:00:00.0 AM;6;$;1;14,310;0;A00002;113;Agro;IBM Infoprint 1222;5;01;185.81;300;0;300;1,500
1;1;C20000;Norm Thompson;103;Distributors;US;USA;PA;Pennsylvania;Northampton;Jan 22, 2006 12:00:00.0 AM;6;$;1;14,310;0;A00003;101;J.B. Printers;J.B. Officeprint 1186;5;01;285.92;450;0;450;2,250
1;1;C20000;Norm Thompson;103;Distributors;US;USA;PA;Pennsylvania;Northampton;Jan 22, 2006 12:00:00.0 AM;6;$;1;14,310;0;A00004;102;Rainbow Printers;Rainbow Color Printer 5.0;5;01;486.02;750;0;750;3,750
1;1;C20000;Norm Thompson;103;Distributors;US;USA;PA;Pennsylvania;Northampton;Jan 22, 2006 12:00:00.0 AM;6;$;1;14,310;0;A00005;102;Rainbow Printers;Rainbow Color Printer 7.5;5;01;385.22;600;0;600;3,000
2;2;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Jan 27, 2006 12:00:00.0 AM;2;$;1;2,976.88;0;A00006;102;Rainbow Printers;Rainbow 1200 Laser Series;5;01;318.124605;500;0;500;2,500
2;2;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Jan 27, 2006 12:00:00.0 AM;2;$;1;2,976.88;0;B10000;100;Items;Printer Label;200;01;0.727035;1.25;0;1.25;250
3;3;C40000;Earthshaker Corporation;102;Large Accounts;US;USA;CA;California;Irvine;Feb 11, 2006 12:00:00.0 AM;3;$;1;12,535;0;S10000;104;Servers;Server Point 10000;5;01;1,272.904;2,300;0;2,300;11,500
4;4;C23900;Parameter Technology;106;High Tech;US;USA;PA;Pennsylvania;Philadelphia;Feb 16, 2006 12:00:00.0 AM;4;$;1;7,473;0;C00001;100;Items;Motherboard BTX;6;01;360.738371;600;0;600;3,600
4;4;C23900;Parameter Technology;106;High Tech;US;USA;PA;Pennsylvania;Philadelphia;Feb 16, 2006 12:00:00.0 AM;4;$;1;7,473;0;A00003;101;J.B. Printers;J.B. Officeprint 1186;6;01;285.916243;450;0;450;2,700
4;4;C23900;Parameter Technology;106;High Tech;US;USA;PA;Pennsylvania;Philadelphia;Feb 16, 2006 12:00:00.0 AM;4;$;1;7,473;0;LM4029MC;101;J.B. Printers;Memory Chip;10;01;49.175824;75;0;75;750
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;A00001;103;Accessories;IBM Infoprint 1312;5;01;370.033664;500;0;500;2,500
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;A00002;113;Agro;IBM Infoprint 1222;5;01;185.809839;250;0;250;1,250
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;A00003;101;J.B. Printers;J.B. Officeprint 1186;5;01;285.916236;375;0;375;1,875
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;A00004;102;Rainbow Printers;Rainbow Color Printer 5.0;5;01;486.019652;625;0;625;3,125
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;A00005;102;Rainbow Printers;Rainbow Color Printer 7.5;5;01;385.223357;500;0;500;2,500
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;A00006;102;Rainbow Printers;Rainbow 1200 Laser Series;5;01;318.124626;500;0;500;2,500
5;5;C42000;Mashina Corporation;103;Distributors;US;USA;OH;Ohio;Dayton;Feb 12, 2006 12:00:00.0 AM;5;$;1;18,391;0;P10001;105;PC;PC - 8x core, DDR 32GB, 2TB HDD;2;01;1,340.737143;1,800;0;1,800;3,600
6;6;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Mar 9, 2006 12:00:00.0 AM;2;$;1;8,795.31;0;C00002;100;Items;Motherboard MicroATX;10;01;269.295357;375;0;375;3,750
6;6;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Mar 9, 2006 12:00:00.0 AM;2;$;1;8,795.31;0;C00010;100;Items;Mouse USB;20;01;18.865487;25;0;25;500
6;6;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Mar 9, 2006 12:00:00.0 AM;2;$;1;8,795.31;0;C00011;100;Items;Memory DDR RAM 8GB;20;01;36.923143;50;0;50;1,000
6;6;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Mar 9, 2006 12:00:00.0 AM;2;$;1;8,795.31;0;C00008;100;Items;Computer Monitor 24" HDMI;10;01;188.266368;250;0;250;2,500
6;6;C30000;Microchips;102;Large Accounts;US;USA;NY;New York;Bronx;Mar 9, 2006 12:00:00.0 AM;2;$;1;8,795.31;0;C00009;100;Items;Keyboard Comfort USB;15;01;18.878414;25;0;25;375
7;7;C40000;Earthshaker Corporation;102;Large Accounts;US;USA;CA;California;Irvine;Mar 15, 2006 12:00:00.0 AM;3;$;1;10,573;0;A00002;113;Agro;IBM Infoprint 1222;10;01;185.809836;250;0;250;2,500
